DOI,Title,Type
10.1158/1538-7445.prca2023-b014,Abstract B014: ONECUT2 activates diverse drug-resistant phenotypes in prostate cancer,journal-article
10.1158/1538-7445.prca2023-a029,Abstract A029: Whole genome and transcriptome analysis of paired metastatic biopsies identified resistance mechanisms in castration-resistant prostate cancer,journal-article
10.1158/2326-6066.cir-11-6-wwr,A Sampling of Highlights from the Literature,journal-article
10.1158/1538-7445.am2023-5626,Abstract 5626: Multiomic spatial profiling of the tumor immune microenvironment at single cell resolution,journal-article
10.1158/1538-7445.am2023-4106,Abstract 4106: Non-autonomous enhancement of gPDL1 CAR-T annihilates TNBC development,journal-article
10.1158/1538-7445.am2023-4113,Abstract 4113: Classification of patient-specific sensitivity to immunotherapies by <i>ex vivo</i> tumor testing,journal-article
10.1158/1538-7445.am2023-2553,Abstract 2553: Elucidation of the downstream signaling of <i>PIK3CA</i> genomic alterations in serous ovarian cancer,journal-article
10.1158/1557-3125.ras23-a028,Abstract A028: An isogenic H/N/KRAS-less mouse embryonic fibroblast cell line panel derived from a size sorted diploid clonal parent,journal-article
10.1158/1538-7755.disp22-c066,"Abstract C066: Effects of race, ethnicity, and country of origin on incidence and survival in breast cancer",journal-article
10.1158/1538-7755.disp22-b050,Abstract B050: The iCCARE consortium for prostate cancer in Black men: Grounded theory study of the social determinant of health factors among African immigrant men diagnosed with prostate cancer,journal-article
10.1158/1538-7755.disp22-a015,Abstract A015: Examination of the role of area deprivation indices on head and neck cancer survival adjusting for clinical and behavioral factors,journal-article
10.1158/1538-7755.disp22-c056,Abstract C056: Prognostic relevance of SUV420H2 (KMT5C) gene expression in clear cell renal cell carcinoma: Implications for patients of African ancestry,journal-article
10.1158/1557-3125.ras23-a040,"Abstract A040: The SRG OncoRat supports growth of numerous RAS mutant cell lines, expanding pre-clinical RAS-inhibitor testing",journal-article
10.1158/1557-3125.ras23-b032,Abstract B032: KRAS copy number variation and mutant allele fractions predict in vitro response of PDX-derived human pancreatic cancer cell lines to KRASG12D inhibitor MRTX1133,journal-article
10.1158/1538-7445.am2023-2851,Abstract 2851: ALK-inhibitors as a novel potential therapy for proteasome inhibitor-resistant multiple myeloma,journal-article
10.1158/1538-7445.am2023-5454,Abstract 5454: Peripheral blood biomarkers in Phase II study of pembrolizumab in combination with oral binimetinib in patients with unresectable locally advanced or metastatic triple-negative breast cancer,journal-article
10.1158/1538-7445.am2023-2733,Abstract 2733: TYMS as a novel target for AAV-based therapy,journal-article
10.1158/1538-7445.am2023-3729,Abstract 3729: Targeting the writers of enhancers as a new therapeutic strategy in pediatric AML,journal-article
10.1158/1538-7445.am2023-5471,Abstract 5471: Integrating tumor-intrinsic and immunological factors to identify immunogenic breast cancers from a low-risk cohort; results from the randomized SweBCG91RT trial,journal-article
10.1158/1538-7445.am2023-555,Abstract 555: Gene expression profiling in recurrence of oral cancer involved in tumor microenvironment change and cancer stem cells,journal-article
10.1158/1538-7445.am2023-3335,Abstract 3335: DNA methylation markers for the surveillance of non-muscle invasive bladder cancer: Results from a prospective pilot study,journal-article
10.1158/1538-7445.am2023-5460,Abstract 5460: Novel immunohistochemistry-based predictive and prognostic tests for hormone receptor-positive breast cancer,journal-article
10.1158/1538-7445.am2023-381,Abstract 381: Inhibition of CCR6-CCL20 axis enhances cytotoxic effect of chemotherapeutics in colon cancer,journal-article
10.1158/1538-7445.am2023-5360,Abstract 5360: Improved identification of CHIP mutations from cell-free DNA without matched normal samples using machine learning,journal-article
10.1158/1538-7445.am2023-6480,Abstract 6480: Mortality in patients with monoclonal gammopathy of undetermined significance: an analysis of National Health and Nutrition Examination Survey,journal-article
10.1158/1538-7445.am2023-2214,Abstract 2214: NEDD9 as a prognostic biomarker and its immune landscape in lung adenocarcinoma,journal-article
10.1158/1538-7445.am2023-4398,Abstract 4398: Validation of an updated algorithm to identify non-small cell lung cancer (NSCLC) patients in administrative claims databases,journal-article
10.1158/1538-7445.am2023-922,Abstract 922: Body composition and metabolic dysfunction really matter for the achievement of better outcomes in high-grade serous ovarian cancer,journal-article
10.1158/1538-7445.am2023-5135,Abstract 5135: Standardized off-the-shelf engineered NK cell therapy with improved ADCC properties to treat malignancies,journal-article
10.1158/1538-7445.am2023-1619,Abstract 1619: Generation of a novel estrogen receptor degrader,journal-article
10.1158/1538-7445.am2023-579,"Abstract 579: Mini-tumors: Pre-clinical HCI assays to screen anti-cancer drugs in the context of organoids, cancer-associated fibroblasts and immune cells",journal-article
10.1158/1538-7445.am2023-816,Abstract 816: Biological evaluation of novel stearoyl gemcitabine nanoparticles in primary pancreatic cancer cells and PDX mice tumor models,journal-article
10.1158/1538-7445.am2023-1467,Abstract 1467: A novel screening model to identify EWS::FLI1 regulators and their consequences on Ewing sarcoma plasticity,journal-article
10.1158/1538-7445.am2023-3823,Abstract 3823: Therapeutic potential of plant-derived nanovesicles for neuroendocrine prostate cancer,journal-article
10.1158/1538-7445.am2023-1624,Abstract 1624: eIF4E allosteric regulators cause rapid commitment to apoptosis in cancer cells while sparing immune cells,journal-article
10.1158/1538-7445.am2023-1991,Abstract 1991: Remodeling the microenvironment of osteosarcoma lung metastases with inhaled CSF-1Ri immunotherapy,journal-article
10.1158/1538-7445.am2023-1509,Abstract 1509: Longitudinal profiling of high-risk pediatric malignancies using a multiomics approach,journal-article
10.1158/1538-7445.am2023-1755,Abstract 1755: ADAR1-mediated RNA editing of SCD1 links lipid metabolism to gastric cancer drug resistance and self-renewal,journal-article
10.1158/1538-7445.am2023-6152,Abstract 6152: Exploiting ferroptosis in mutant BAP1 uveal melanoma,journal-article
10.1158/1538-7445.am2023-6150,"Abstract 6150: AZD0466, a dual BCL-2/XL targeting nanomedicine, is active in small cell lung cancer models",journal-article
10.1158/1538-7445.am2023-235,Abstract 235: Establishing clinical utility for genomic profiling with plasma cell free DNA in urothelial carcinoma,journal-article
10.1158/1538-7445.am2023-3020,Abstract 3020: Machine learning-based cluster analysis of immune cell subtypes and breast cancer survival,journal-article
10.1158/1538-7445.am2023-2451,Abstract 2451: KRAS activation in gastric cancer stem-like cells promotes tumor angiogenesis and metastasis,journal-article
10.1158/1538-7445.am2023-6029,Abstract 6029: Multi-omic landscape of squamous cell lung cancer,journal-article
10.1158/1538-7445.am2023-2883,Abstract 2883: Gut microbiome dysbiosis promotes immune suppression and lung cancer development,journal-article
10.1158/1538-7445.am2023-4934,Abstract 4934: CAPAC: a modular platform that can improve the safety and efficacy of existing cancer therapies,journal-article
10.1158/1538-7445.am2023-2935,"Abstract 2935: ZW270, a conditionally masked IL-12 cytokine fusion protein displaying potent anti-tumor activity absent systemic toxicity",journal-article
10.1158/1538-7445.am2023-1053,Abstract 1053: Circulating tumor DNA from cerebrospinal fluid (CSF) allows for characterization and monitoring of glioma patients,journal-article
